CustomerID,Tenure_Months,Monthly_Charges,Total_Tickets,Contract_Type,Tech_Support,Churn
87,41,119.41,2,One year,No,0
88,28,119.41,0,Month-to-month,No,0
89,7,119.41,1,Month-to-month,No,1
90,12,119.41,7,Two year,No,1
91,34,119.41,6,Two year,Yes,0
92,33,119.41,1,Two year,No,0
93,48,119.41,1,Month-to-month,Yes,0
94,23,119.41,8,Two year,Yes,0
95,62,119.41,5,Month-to-month,Yes,0
96,37,119.41,4,Month-to-month,No,0
97,44,119.41,9,Month-to-month,Yes,1
98,35,119.41,5,Month-to-month,No,0
99,65,119.41,8,Month-to-month,No,1
100,47,119.41,6,Month-to-month,No,1
101,3,119.41,9,Month-to-month,Yes,1
102,1,119.41,9,Month-to-month,No,1
103,5,119.41,8,One year,No,1
104,14,119.41,3,One year,No,0
105,27,119.41,1,Month-to-month,No,0
106,9,119.41,7,Month-to-month,No,1
107,15,119.41,3,One year,Yes,0
108,42,119.41,8,One year,No,1
109,51,119.41,3,Month-to-month,Yes,0
110,63,119.41,7,One year,No,0
111,52,119.41,8,Two year,No,0
112,4,119.41,8,Month-to-month,No,1
113,23,119.41,9,Month-to-month,Yes,1
114,15,119.41,3,Month-to-month,No,0
115,43,119.41,0,One year,No,0
116,29,119.41,2,Month-to-month,Yes,0
117,36,119.41,8,Month-to-month,No,1
118,13,119.41,3,Month-to-month,No,0
119,32,119.41,4,Two year,No,0
120,71,119.41,6,One year,Yes,0
121,59,119.41,4,One year,Yes,0
122,28,119.41,3,Two year,Yes,0
123,66,119.41,1,Month-to-month,Yes,0
124,42,119.41,1,Two year,No,0
125,45,119.41,3,One year,No,0
126,62,119.41,9,Month-to-month,No,1
127,57,119.41,9,Two year,No,1
128,6,119.41,8,Two year,Yes,1
129,28,119.41,7,Two year,No,0
130,28,119.41,2,Month-to-month,No,0
131,44,119.41,8,Two year,No,0
132,30,119.41,4,Two year,Yes,0
133,62,119.41,2,Month-to-month,No,0
134,62,119.41,4,Month-to-month,No,0
135,1,119.41,9,Month-to-month,No,1
136,27,119.41,3,Two year,Yes,0
137,62,119.41,7,One year,Yes,1
138,3,119.41,4,Month-to-month,No,1
139,70,119.41,9,Month-to-month,No,1
140,27,119.41,7,Month-to-month,Yes,1
141,9,119.41,8,One year,No,1
142,62,119.41,3,Month-to-month,No,0
143,37,119.41,6,Two year,No,1
144,51,119.41,1,One year,No,0
145,44,119.41,5,One year,No,0
146,24,119.41,7,Month-to-month,No,1
147,59,119.41,6,Month-to-month,No,1
148,32,119.41,6,Month-to-month,Yes,1
149,52,119.41,7,Month-to-month,Yes,1
150,62,119.41,6,Month-to-month,No,1
151,58,119.41,4,Two year,No,0
152,52,119.41,6,Month-to-month,No,1
153,12,119.41,9,Month-to-month,No,1
154,39,119.41,2,Month-to-month,Yes,0
155,2,119.41,4,Month-to-month,No,1
156,3,119.41,6,Two year,No,1
157,56,119.41,8,Month-to-month,No,1
158,59,119.41,1,Month-to-month,Yes,0
159,2,119.41,3,One year,No,0
160,2,119.41,6,Month-to-month,No,1
161,54,119.41,0,Month-to-month,No,0
162,1,119.41,1,Month-to-month,No,1
163,19,119.41,8,Month-to-month,No,1
164,2,119.41,9,Month-to-month,No,1
165,53,119.41,6,Month-to-month,No,1
166,44,119.41,9,Two year,No,0
167,32,119.41,6,Month-to-month,No,1
168,70,119.41,5,One year,No,0
169,32,119.41,2,One year,Yes,0
170,68,119.41,9,One year,Yes,0
171,55,119.41,2,Month-to-month,No,0
172,56,119.41,1,Month-to-month,No,0
173,17,119.41,5,One year,No,0
174,38,119.41,3,One year,Yes,0
175,24,119.41,4,One year,Yes,0
176,69,119.41,2,Month-to-month,Yes,0
177,70,119.41,5,Two year,No,0
178,11,119.41,2,Month-to-month,No,1
179,16,119.41,7,Month-to-month,No,1
180,59,119.41,8,Month-to-month,Yes,1
181,70,119.41,3,Month-to-month,No,0
182,3,119.41,8,Month-to-month,No,1
183,20,119.41,6,One year,Yes,1
184,59,119.41,2,Two year,No,0
185,36,119.41,6,Two year,Yes,0
186,19,119.41,0,Month-to-month,No,0
187,67,119.41,2,One year,No,0
188,19,119.41,5,Month-to-month,No,0
189,20,119.41,3,Month-to-month,Yes,0
190,71,119.41,6,Month-to-month,No,1
191,52,119.41,2,Month-to-month,No,0
192,33,119.41,0,Month-to-month,Yes,0
193,40,119.41,8,Month-to-month,No,1
194,39,119.41,5,One year,No,0
195,1,119.41,7,Two year,No,1
196,11,119.41,2,Month-to-month,No,1
197,57,119.41,7,Two year,No,1
198,50,119.41,1,One year,No,0
199,23,119.41,3,One year,No,0
200,31,119.41,2,One year,Yes,0
201,42,119.41,9,Month-to-month,Yes,1
202,7,119.41,0,Two year,Yes,0
203,16,119.41,6,One year,No,0
204,60,119.41,9,Two year,No,0
205,2,119.41,1,One year,No,0
206,1,119.41,3,Two year,No,0
207,48,119.41,8,One year,No,1
208,12,119.41,5,Month-to-month,No,0
209,69,119.41,7,Month-to-month,Yes,1
210,37,119.41,1,Month-to-month,No,0
211,32,119.41,6,Month-to-month,No,1
212,9,119.41,5,Month-to-month,No,1
213,19,119.41,8,Two year,Yes,0
214,48,119.41,6,One year,No,0
215,3,119.41,0,Two year,No,0
216,20,119.41,7,Two year,No,0
217,24,119.41,9,One year,No,1
218,54,119.41,2,Two year,No,0
219,33,119.41,1,One year,Yes,0
220,24,119.41,2,Two year,Yes,0
221,36,119.41,5,Month-to-month,No,0
222,38,119.41,2,Month-to-month,Yes,0
223,25,119.41,9,Month-to-month,No,1
224,18,119.41,4,One year,No,0
225,66,119.41,5,One year,No,0
226,54,119.41,7,Month-to-month,Yes,1
227,35,119.41,6,Month-to-month,No,1
228,61,119.41,7,Two year,No,0
229,41,119.41,2,One year,No,0
230,33,119.41,3,Month-to-month,No,0
231,68,119.41,5,One year,No,0
232,33,119.41,6,One year,Yes,0
233,14,119.41,8,Two year,No,1
234,21,119.41,0,Month-to-month,Yes,0
235,48,119.41,7,Month-to-month,No,1
236,20,119.41,7,Month-to-month,No,1
237,8,119.41,5,Month-to-month,No,1
238,7,119.41,3,Two year,No,0
239,67,119.41,2,Month-to-month,No,0
240,17,119.41,2,Two year,No,0
241,33,119.41,5,Month-to-month,No,0
242,48,119.41,7,Two year,Yes,1
243,59,119.41,6,Month-to-month,Yes,1
244,22,119.41,0,Two year,Yes,0
245,30,119.41,5,Two year,Yes,0
246,38,119.41,6,Two year,No,1
247,51,119.41,6,Month-to-month,No,1
248,54,119.41,8,Month-to-month,Yes,1
249,8,119.41,9,One year,Yes,1
250,27,119.41,4,Month-to-month,No,0
251,27,119.41,0,Month-to-month,No,0
252,21,119.41,1,Month-to-month,No,0
253,30,119.41,3,One year,No,0
254,28,119.41,4,One year,No,0
255,64,119.41,8,Month-to-month,No,1
256,69,119.41,0,Month-to-month,No,0
257,61,119.41,2,Month-to-month,Yes,0
258,48,119.41,4,One year,No,0
259,19,119.41,2,Month-to-month,Yes,0
260,4,119.41,3,Month-to-month,No,1
261,35,119.41,2,Two year,No,0
262,64,119.41,3,Two year,No,0
263,49,119.41,0,Two year,Yes,0
264,17,119.41,7,Two year,No,0
265,44,119.41,3,Month-to-month,No,0
266,30,119.41,6,One year,Yes,1
267,46,119.41,1,Month-to-month,No,0
268,6,119.41,1,One year,Yes,0
269,37,119.41,5,Month-to-month,No,0
270,24,119.41,1,One year,No,0
271,46,119.41,5,One year,No,0
272,53,119.41,1,Month-to-month,No,0
273,60,119.41,3,One year,No,0
274,63,119.41,6,Month-to-month,No,1
275,32,119.41,7,Month-to-month,No,1
276,33,119.41,2,Month-to-month,No,0
277,67,119.41,8,Month-to-month,No,1
278,18,119.41,1,Month-to-month,No,0
279,25,119.41,7,Two year,No,1
280,54,119.41,7,Month-to-month,No,1
281,58,119.41,3,Month-to-month,No,0
282,67,119.41,0,Month-to-month,Yes,0
283,46,119.41,0,One year,No,0
284,24,119.41,1,One year,No,0
285,32,119.41,8,One year,No,1
286,47,119.41,1,One year,No,0
287,23,119.41,1,Two year,Yes,0
288,66,119.41,5,Two year,No,0
289,27,119.41,6,One year,No,1
290,2,119.41,6,Month-to-month,No,1
291,17,119.41,8,One year,No,1
292,33,119.41,5,One year,Yes,0
293,9,119.41,7,One year,No,1
294,43,119.41,5,Two year,No,0
295,48,119.41,1,One year,No,0
296,39,119.41,0,Two year,Yes,0
297,42,119.41,4,Month-to-month,No,0
298,26,119.41,8,Month-to-month,Yes,1
299,50,119.41,7,Month-to-month,No,1
300,25,119.41,3,Two year,No,0
301,24,119.41,4,Two year,Yes,0
302,13,119.41,4,One year,Yes,0
303,60,119.41,5,One year,No,0
304,7,119.41,2,One year,No,0
305,57,119.41,4,Two year,Yes,0
306,36,119.41,1,Two year,No,0
307,45,119.41,9,One year,No,0
308,20,119.41,0,One year,Yes,0
309,65,119.41,0,Month-to-month,No,0
310,8,119.41,9,One year,No,1
311,16,119.41,6,Month-to-month,Yes,1
312,14,119.41,1,Month-to-month,No,0
313,15,119.41,3,Two year,No,0
314,66,119.41,4,One year,Yes,0
315,32,119.41,6,Two year,Yes,1
316,63,119.41,1,Month-to-month,Yes,0
317,51,119.41,5,Month-to-month,No,0
318,25,119.41,0,Month-to-month,Yes,0
319,58,119.41,6,Month-to-month,No,1
320,63,119.41,8,Month-to-month,Yes,1
321,62,119.41,4,Month-to-month,No,0
322,22,119.41,4,Month-to-month,No,0
323,58,119.41,3,Month-to-month,No,0
324,58,119.41,2,Month-to-month,No,0
325,49,119.41,8,One year,No,0
326,52,119.41,4,Month-to-month,No,0
327,42,119.41,7,One year,No,1
328,70,119.41,8,One year,No,0
329,15,119.41,4,Month-to-month,No,0
330,54,119.41,9,Two year,Yes,0
331,60,119.41,8,One year,No,0
332,8,119.41,1,One year,No,0
333,53,119.41,8,Month-to-month,No,1
334,60,119.41,3,One year,No,0
335,5,119.41,5,Two year,No,0
336,68,119.41,5,Month-to-month,Yes,0
337,6,119.41,5,Month-to-month,No,1
338,47,119.41,1,Month-to-month,Yes,0
339,55,119.41,6,One year,Yes,0
340,40,119.41,5,Month-to-month,No,0
341,52,119.41,0,One year,No,0
342,16,119.41,1,Month-to-month,No,0
343,13,119.41,6,Two year,No,0
344,30,119.41,0,Month-to-month,Yes,0
345,19,119.41,0,Month-to-month,No,0
346,17,119.41,0,One year,Yes,0
347,63,119.41,7,Month-to-month,No,1
348,19,119.41,3,Month-to-month,No,0
349,58,119.41,3,Month-to-month,Yes,0
350,55,119.41,1,One year,No,0
351,62,119.41,0,Two year,No,0
352,23,119.41,9,Two year,No,1
353,9,119.41,8,Month-to-month,No,1
354,12,119.41,6,Month-to-month,Yes,1
355,1,119.41,3,One year,Yes,0
356,58,119.41,5,One year,Yes,0
357,1,119.41,1,Month-to-month,No,1
358,34,119.41,6,Month-to-month,Yes,1
359,48,119.41,1,Month-to-month,No,0
360,1,119.41,9,One year,Yes,1
361,16,119.41,7,Month-to-month,No,1
362,61,119.41,7,Two year,Yes,0
363,64,119.41,0,Month-to-month,Yes,0
364,63,119.41,7,Month-to-month,Yes,1
365,69,119.41,1,Month-to-month,No,0
366,22,119.41,5,Month-to-month,No,0
367,67,119.41,0,Month-to-month,No,0
368,26,119.41,4,Month-to-month,No,0
369,16,119.41,6,Month-to-month,No,1
370,51,119.41,9,Month-to-month,No,1
371,57,119.41,0,Month-to-month,Yes,0
372,29,119.41,1,Two year,No,0
373,69,119.41,6,One year,No,0
374,47,119.41,5,One year,No,0
375,62,119.41,2,Month-to-month,Yes,0
376,69,119.41,9,Month-to-month,No,1
377,16,119.41,1,Month-to-month,Yes,0
378,48,119.41,9,One year,Yes,0
379,39,119.41,3,Month-to-month,No,0
380,33,119.41,2,Month-to-month,No,0
381,23,119.41,6,One year,No,0
382,10,119.41,7,Month-to-month,No,1
383,69,119.41,1,Month-to-month,Yes,0
384,34,119.41,9,Month-to-month,Yes,1
385,52,119.41,6,One year,No,0
386,10,119.41,7,One year,No,1
387,19,119.41,5,Month-to-month,No,0
388,58,119.41,5,Month-to-month,No,0
389,1,119.41,9,One year,No,1
390,69,119.41,0,Month-to-month,No,0
391,4,119.41,3,One year,Yes,0
392,16,119.41,0,One year,No,0
393,24,119.41,3,Month-to-month,No,0
394,2,119.41,1,Month-to-month,No,1
395,32,119.41,4,One year,No,0
396,24,119.41,9,Month-to-month,No,1
397,12,119.41,8,Month-to-month,No,1
398,50,119.41,9,One year,Yes,0
399,35,119.41,2,Month-to-month,Yes,0
400,33,119.41,7,Month-to-month,No,1
401,33,119.41,2,Month-to-month,No,0
402,61,119.41,5,One year,No,0
403,51,119.41,3,Month-to-month,No,0
404,43,119.41,7,Two year,No,0
405,12,119.41,5,One year,Yes,0
406,67,119.41,7,Month-to-month,Yes,1
407,65,119.41,0,Month-to-month,No,0
408,33,119.41,5,Month-to-month,Yes,0
409,40,119.41,0,One year,Yes,0
410,43,119.41,0,Two year,No,0
411,44,119.41,7,One year,Yes,1
412,29,119.41,6,Month-to-month,No,1
413,13,119.41,2,One year,No,0
414,12,119.41,5,Month-to-month,No,0
415,46,119.41,8,One year,No,0
416,2,119.41,6,One year,No,1
417,35,119.41,2,Month-to-month,Yes,0
418,8,119.41,5,Month-to-month,Yes,1
419,26,119.41,3,One year,No,0
420,34,119.41,2,One year,Yes,0
421,7,119.41,8,Month-to-month,Yes,1
422,68,119.41,9,Month-to-month,No,1
423,58,119.41,1,One year,No,0
424,29,119.41,0,Month-to-month,No,0
425,36,119.41,1,Month-to-month,Yes,0
426,21,119.41,6,Month-to-month,No,1
427,36,119.41,9,Month-to-month,No,1
428,10,119.41,0,One year,Yes,0
429,24,119.41,5,Two year,Yes,0
430,64,119.41,6,One year,No,0
431,49,119.41,8,Month-to-month,No,1
432,36,119.41,7,One year,No,1
433,24,119.41,5,Month-to-month,Yes,0
434,23,119.41,2,Month-to-month,No,0
435,62,119.41,7,Two year,No,1
436,37,119.41,6,Month-to-month,Yes,1
437,12,119.41,2,Two year,Yes,0
438,55,119.41,8,Month-to-month,Yes,1
439,13,119.41,1,One year,No,0
440,23,119.41,2,Month-to-month,No,0
441,30,119.41,1,Month-to-month,No,0
442,17,119.41,0,Month-to-month,No,0
443,62,119.41,3,Two year,No,0
444,13,119.41,4,One year,No,0
445,59,119.41,5,Two year,Yes,0
446,19,119.41,4,One year,No,0
447,49,119.41,0,Two year,No,0
448,12,119.41,2,Month-to-month,Yes,0
449,61,119.41,0,Month-to-month,No,0
450,19,119.41,4,One year,Yes,0
451,9,119.41,4,One year,No,0
452,71,119.41,5,One year,No,0
453,28,119.41,7,Month-to-month,No,1
454,52,119.41,9,Month-to-month,No,1
455,16,119.41,0,Two year,No,0
456,69,119.41,3,One year,Yes,0
457,12,119.41,9,Month-to-month,Yes,1
458,25,119.41,0,One year,No,0
459,52,119.41,8,Two year,Yes,1
460,53,119.41,6,Month-to-month,Yes,1
461,23,119.41,6,Two year,No,0
462,16,119.41,4,Two year,Yes,0
463,57,119.41,6,Two year,No,1
464,39,119.41,1,Two year,No,0
465,53,119.41,3,One year,No,0
466,42,119.41,6,Month-to-month,No,1
467,58,119.41,2,Month-to-month,Yes,0
468,39,119.41,1,Month-to-month,No,0
469,14,119.41,9,Month-to-month,Yes,1
470,5,119.41,1,Month-to-month,Yes,1
471,35,119.41,0,Month-to-month,No,0
472,18,119.41,4,Month-to-month,Yes,0
473,9,119.41,5,Month-to-month,No,1
474,58,119.41,5,Two year,No,0
475,17,119.41,8,Month-to-month,No,1
476,7,119.41,3,One year,No,0
477,46,119.41,0,One year,Yes,0
478,13,119.41,5,Month-to-month,No,0
479,40,119.41,4,Two year,Yes,0
480,42,119.41,9,One year,No,1
481,9,119.41,5,Month-to-month,Yes,1
482,50,119.41,2,Month-to-month,Yes,0
483,27,119.41,1,Month-to-month,No,0
484,66,119.41,5,Month-to-month,No,0
485,5,119.41,0,Month-to-month,No,1
486,29,119.41,6,One year,No,0
487,37,119.41,6,Two year,No,1
488,38,119.41,9,One year,No,0
489,8,119.41,6,Month-to-month,No,1
490,65,119.41,9,Month-to-month,Yes,1
491,17,119.41,0,Month-to-month,No,0
492,71,119.41,3,Month-to-month,No,0
493,45,119.41,6,Month-to-month,Yes,1
494,4,119.41,8,Two year,Yes,1
495,36,119.41,4,Month-to-month,Yes,0
496,70,119.41,1,Two year,No,0
497,31,119.41,6,Month-to-month,No,1
498,19,119.41,9,Two year,No,0
499,61,119.41,0,One year,No,0
500,54,119.41,6,One year,No,0
501,39,119.41,5,Month-to-month,Yes,0
502,19,119.41,6,Two year,Yes,1
503,39,119.41,9,Two year,No,1
504,67,119.41,2,One year,No,0
505,45,119.41,2,One year,No,0
506,13,119.41,6,One year,No,0
507,58,119.41,1,Month-to-month,No,0
508,20,119.41,0,One year,No,0
509,61,119.41,8,Two year,Yes,0
510,39,119.41,8,Month-to-month,No,1
511,1,119.41,6,Month-to-month,Yes,1
512,3,119.41,6,Month-to-month,No,1
513,62,119.41,2,One year,Yes,0
514,63,119.41,9,Month-to-month,No,1
515,25,119.41,1,Month-to-month,No,0
516,56,119.41,6,Month-to-month,No,1
517,33,119.41,8,One year,No,1
518,38,119.41,0,Month-to-month,No,0
519,6,119.41,3,One year,Yes,0
520,58,119.41,5,Month-to-month,No,0
521,44,119.41,6,One year,No,1
522,45,119.41,9,Two year,Yes,0
523,32,119.41,6,Month-to-month,No,1
524,45,119.41,9,Month-to-month,No,1
525,61,119.41,1,Two year,No,0
526,47,119.41,3,Month-to-month,No,0
527,21,119.41,4,Month-to-month,Yes,0
528,36,119.41,0,Two year,No,0
529,19,119.41,0,Two year,No,0
530,20,119.41,9,One year,Yes,0
531,57,119.41,2,Month-to-month,No,0
532,18,119.41,9,Month-to-month,No,1
533,47,119.41,2,Month-to-month,Yes,0
534,49,119.41,7,One year,Yes,1
535,14,119.41,8,One year,No,0
536,15,119.41,0,Two year,Yes,0
537,31,119.41,1,Month-to-month,No,0
538,1,119.41,9,One year,No,1
539,54,119.41,1,Month-to-month,No,0
540,3,119.41,3,Month-to-month,No,1
541,16,119.41,1,One year,No,0
542,57,119.41,6,Month-to-month,No,1
543,12,119.41,8,One year,No,1
544,16,119.41,6,One year,No,1
545,24,119.41,5,Two year,No,0
546,28,119.41,9,One year,No,0
547,8,119.41,0,Two year,Yes,0
548,36,119.41,9,One year,No,0
549,8,119.41,8,Month-to-month,No,1
550,58,119.41,4,Month-to-month,No,0
551,60,119.41,4,One year,Yes,0
552,50,119.41,5,One year,No,0
553,28,119.41,8,One year,No,0
554,41,119.41,7,Month-to-month,No,1
555,64,119.41,7,Month-to-month,No,1
556,27,119.41,7,Month-to-month,No,1
557,63,119.41,0,One year,No,0
558,17,119.41,0,One year,No,0
559,33,119.41,7,One year,Yes,0
560,29,119.41,4,Month-to-month,No,0
561,13,119.41,8,Month-to-month,Yes,1
562,46,119.41,1,One year,No,0
563,35,119.41,8,One year,Yes,0
564,6,119.41,7,Month-to-month,No,1
565,69,119.41,8,One year,No,0
566,47,119.41,3,Month-to-month,No,0
567,25,119.41,0,One year,No,0
568,66,119.41,0,Two year,No,0
569,10,119.41,4,One year,Yes,0
570,56,119.41,1,One year,No,0
571,30,119.41,7,Month-to-month,No,1
572,5,119.41,9,One year,Yes,1
573,33,119.41,4,One year,Yes,0
574,65,119.41,4,One year,Yes,0
575,18,119.41,1,One year,Yes,0
576,49,119.41,6,Month-to-month,No,1
577,11,119.41,7,Two year,Yes,1
578,26,119.41,9,One year,No,1
579,63,119.41,0,Month-to-month,Yes,0
580,59,119.41,1,One year,Yes,0
581,27,119.41,9,Month-to-month,No,1
582,49,119.41,3,Month-to-month,No,0
583,33,119.41,4,Month-to-month,Yes,0
584,1,119.41,1,One year,No,0
585,21,119.41,0,Two year,Yes,0
586,55,119.41,8,One year,Yes,0
587,6,119.41,0,One year,Yes,0
588,69,119.41,3,Month-to-month,No,0
589,5,119.41,1,Month-to-month,No,1
590,3,119.41,3,Month-to-month,No,1
591,53,119.41,7,One year,No,1
592,23,119.41,7,Two year,No,0
593,53,119.41,8,Month-to-month,No,1
594,37,119.41,4,One year,No,0
595,17,119.41,6,Two year,No,0
596,1,119.41,2,Month-to-month,Yes,1
597,51,119.41,9,One year,No,0
598,45,119.41,3,One year,No,0
599,4,119.41,9,One year,No,1
600,62,119.41,8,Month-to-month,No,1
601,65,119.41,9,One year,No,0
602,32,119.41,9,One year,No,1
603,34,119.41,0,Month-to-month,Yes,0
604,39,119.41,1,One year,No,0
605,26,119.41,4,Month-to-month,No,0
606,34,119.41,2,Two year,No,0
607,54,119.41,1,One year,No,0
608,3,119.41,0,Two year,Yes,0
609,50,119.41,9,Month-to-month,No,1
610,12,119.41,2,Month-to-month,No,0
611,65,119.41,0,Month-to-month,No,0
612,54,119.41,0,Month-to-month,No,0
613,5,119.41,0,Month-to-month,Yes,1
614,57,119.41,7,One year,Yes,1
615,17,119.41,2,Month-to-month,No,0
616,47,119.41,0,One year,No,0
617,23,119.41,6,Month-to-month,No,1
618,14,119.41,9,One year,No,1
619,66,119.41,2,One year,Yes,0
620,51,119.41,7,One year,Yes,0
621,38,119.41,3,Two year,No,0
622,64,119.41,3,Month-to-month,No,0
623,38,119.41,4,Month-to-month,No,0
624,50,119.41,5,Month-to-month,No,0
625,30,119.41,6,Month-to-month,No,1
626,51,119.41,3,One year,Yes,0
627,63,119.41,7,Month-to-month,No,1
628,52,119.41,5,One year,Yes,0
629,38,119.41,0,Month-to-month,No,0
630,30,119.41,0,Two year,No,0
631,51,119.41,8,Two year,No,0
632,5,119.41,9,Month-to-month,Yes,1
633,29,119.41,5,Month-to-month,No,0
634,4,119.41,9,Two year,No,1
635,10,119.41,7,Two year,Yes,1
636,56,119.41,6,Month-to-month,Yes,1
637,17,119.41,5,Month-to-month,No,0
638,17,119.41,3,Two year,No,0
639,69,119.41,6,One year,No,0
640,34,119.41,8,Month-to-month,Yes,1
641,6,119.41,9,One year,No,1
642,53,119.41,9,Two year,Yes,0
643,66,119.41,6,Two year,No,1
644,43,119.41,0,One year,No,0
645,23,119.41,9,One year,No,0
646,55,119.41,8,Month-to-month,No,1
647,16,119.41,3,Two year,Yes,0
648,8,119.41,2,Month-to-month,Yes,1
649,4,119.41,3,Two year,No,0
650,4,119.41,3,Month-to-month,Yes,1
651,56,119.41,9,Two year,No,0
652,25,119.41,1,Month-to-month,Yes,0
653,67,119.41,0,One year,No,0
654,67,119.41,9,Month-to-month,No,1
655,27,119.41,0,One year,Yes,0
656,32,119.41,7,Two year,No,0
657,50,119.41,1,One year,No,0
658,61,119.41,9,One year,No,1
659,51,119.41,4,Month-to-month,No,0
660,19,119.41,3,Two year,No,0
661,21,119.41,7,One year,No,1
662,5,119.41,1,One year,No,0
663,42,119.41,9,One year,Yes,1
664,61,119.41,8,One year,No,0
665,22,119.41,6,Month-to-month,No,1
666,21,119.41,6,One year,Yes,1
667,70,119.41,0,One year,No,0
668,1,119.41,1,Two year,No,0
669,5,119.41,3,Two year,Yes,0
670,12,119.41,3,Month-to-month,Yes,0
671,46,119.41,2,Month-to-month,Yes,0
672,34,119.41,6,Month-to-month,No,1
673,49,119.41,7,Month-to-month,No,1
674,45,119.41,1,One year,No,0
675,27,119.41,3,Two year,Yes,0
676,26,119.41,2,Month-to-month,No,0
677,47,119.41,1,Month-to-month,No,0
678,56,119.41,5,Two year,No,0
679,63,119.41,3,Two year,No,0
680,48,119.41,5,One year,No,0
681,61,119.41,1,One year,No,0
682,26,119.41,3,One year,No,0
683,36,119.41,5,Month-to-month,No,0
684,1,119.41,4,Month-to-month,Yes,1
685,8,119.41,2,Month-to-month,No,1
686,52,119.41,7,Month-to-month,No,1
687,47,119.41,6,Two year,Yes,1
688,56,119.41,2,One year,Yes,0
689,14,119.41,5,Month-to-month,No,0
690,28,119.41,3,Month-to-month,Yes,0
691,2,119.41,4,Month-to-month,No,1
692,26,119.41,4,One year,No,0
693,14,119.41,6,Two year,No,0
694,59,119.41,4,Month-to-month,Yes,0
695,56,119.41,2,Month-to-month,No,0
696,7,119.41,9,One year,Yes,1
697,3,119.41,4,One year,No,0
698,23,119.41,6,Month-to-month,Yes,1
699,18,119.41,4,One year,No,0
700,38,119.41,4,One year,Yes,0
701,15,119.41,8,Month-to-month,Yes,1
702,64,119.41,2,Month-to-month,Yes,0
